index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
0,51,47,46,0.07843137254901966,0.021276595744680882,0.0980392156862745
1,512,342,175,0.33203125,0.48830409356725146,0.658203125
2,51,48,41,0.05882352941176472,0.14583333333333337,0.196078431372549
3,51,51,51,0.0,0.0,0.0
4,512,426,178,0.16796875,0.5821596244131455,0.65234375
5,526,413,158,0.21482889733840305,0.6174334140435835,0.6996197718631179
6,987,773,248,0.21681864235055726,0.6791720569210866,0.7487335359675785
7,376,303,100,0.19414893617021278,0.66996699669967,0.7340425531914894
8,526,339,184,0.35551330798479086,0.45722713864306785,0.6501901140684411
9,763,420,131,0.4495412844036697,0.6880952380952381,0.8283093053735255
10,274,178,86,0.35036496350364965,0.5168539325842696,0.6861313868613139
11,763,400,133,0.47575360419397117,0.6675,0.8256880733944953
12,763,457,150,0.40104849279161203,0.6717724288840263,0.8034076015727392
13,274,167,106,0.3905109489051095,0.3652694610778443,0.6131386861313868
14,288,227,135,0.21180555555555558,0.40528634361233484,0.53125
15,749,588,240,0.2149532710280374,0.5918367346938775,0.6795727636849132
16,288,221,135,0.23263888888888884,0.3891402714932126,0.53125
17,288,205,122,0.2881944444444444,0.40487804878048783,0.5763888888888888
18,749,502,190,0.3297730307076101,0.6215139442231076,0.746328437917223
19,407,328,183,0.1941031941031941,0.44207317073170727,0.5503685503685504
20,631,535,212,0.15213946117274169,0.6037383177570094,0.6640253565768621
21,882,572,209,0.35147392290249435,0.6346153846153846,0.7630385487528345
22,156,113,91,0.27564102564102566,0.19469026548672563,0.41666666666666663
23,882,499,192,0.43424036281179135,0.6152304609218437,0.782312925170068
24,882,593,233,0.3276643990929705,0.6070826306913997,0.735827664399093
25,156,109,86,0.3012820512820513,0.21100917431192656,0.4487179487179487
26,645,459,163,0.28837209302325584,0.644880174291939,0.7472868217054264
27,868,619,201,0.28686635944700456,0.6752827140549273,0.7684331797235023
28,645,471,206,0.2697674418604651,0.5626326963906582,0.6806201550387596
29,645,391,174,0.39379844961240307,0.5549872122762148,0.7302325581395348
30,868,536,170,0.3824884792626728,0.6828358208955223,0.804147465437788
31,170,109,83,0.35882352941176465,0.23853211009174313,0.5117647058823529
32,393,224,149,0.4300254452926209,0.3348214285714286,0.6208651399491094
33,170,120,98,0.2941176470588235,0.18333333333333335,0.42352941176470593
34,170,142,103,0.16470588235294115,0.27464788732394363,0.3941176470588236
35,393,289,138,0.2646310432569975,0.5224913494809689,0.6488549618320612
36,229,180,121,0.2139737991266376,0.3277777777777777,0.47161572052401746
37,96,81,68,0.15625,0.16049382716049387,0.29166666666666663
38,229,170,99,0.25764192139737996,0.41764705882352937,0.5676855895196506
39,229,165,85,0.2794759825327511,0.48484848484848486,0.62882096069869
40,96,82,63,0.14583333333333337,0.23170731707317072,0.34375
41,704,350,149,0.5028409090909092,0.5742857142857143,0.7883522727272727
42,571,305,185,0.4658493870402802,0.39344262295081966,0.6760070052539404
43,704,343,153,0.5127840909090908,0.5539358600583091,0.7826704545454546
44,704,314,127,0.5539772727272727,0.5955414012738853,0.8196022727272727
45,571,323,131,0.4343257443082311,0.5944272445820433,0.7705779334500875
46,942,676,192,0.28237791932059453,0.7159763313609467,0.7961783439490446
47,334,251,110,0.24850299401197606,0.5617529880478087,0.6706586826347305
48,942,713,252,0.2430997876857749,0.6465638148667602,0.7324840764331211
49,942,593,213,0.3704883227176221,0.6408094435075885,0.7738853503184713
50,334,209,144,0.37425149700598803,0.3110047846889952,0.5688622754491017
51,467,297,167,0.3640256959314775,0.4377104377104377,0.6423982869379015
