id,mu,lambda,mut_prob,cx_prob,HV
0,367,792,0.5540714524686337,0.44592854753136635,3.2566
1,96,207,0.5540714524686337,0.44592854753136635,2.9978
2,367,747,0.5540714524686337,0.44592854753136635,3.4541
3,367,792,0.06358945555984974,0.9364105444401503,3.2057
4,96,195,0.06358945555984974,0.9364105444401503,2.6422
5,721,855,0.40648596547544,0.59351403452456,3.4217
6,605,718,0.40648596547544,0.59351403452456,3.2572
7,721,812,0.40648596547544,0.59351403452456,3.5777
8,721,855,0.726043357513845,0.27395664248615503,3.2386
9,605,681,0.726043357513845,0.27395664248615503,3.1126
10,765,2117,0.954973136074841,0.04502686392515898,3.918
11,460,1273,0.954973136074841,0.04502686392515898,3.6308
12,765,1359,0.954973136074841,0.04502686392515898,3.3359
13,765,2117,0.9877102477476001,0.012289752252399921,3.9468
14,460,817,0.9877102477476001,0.012289752252399921,3.4232
15,175,308,0.0688748499378562,0.9311251500621438,2.6584
16,968,1707,0.0688748499378562,0.9311251500621438,3.2728
17,175,513,0.0688748499378562,0.9311251500621438,2.6275
18,175,308,0.33300829492509365,0.6669917050749063,2.8988
19,968,2840,0.33300829492509365,0.6669917050749063,3.443
20,95,258,0.268850008957088,0.731149991042912,2.9434
21,766,2084,0.268850008957088,0.731149991042912,3.3719
22,95,242,0.268850008957088,0.731149991042912,3.1312
23,95,258,0.2233782298862934,0.7766217701137066,3.0017
24,766,1953,0.2233782298862934,0.7766217701137066,3.3417
25,930,1626,0.6290824422612786,0.37091755773872137,3.7103
26,376,657,0.6290824422612786,0.37091755773872137,3.3416
27,930,1529,0.6290824422612786,0.37091755773872137,3.3665
28,930,1626,0.5652740532532334,0.43472594674676657,3.3659
29,376,618,0.5652740532532334,0.43472594674676657,3.2675
30,618,1438,0.24020220525562763,0.7597977947443724,3.7047
31,655,1524,0.24020220525562763,0.7597977947443724,3.3179
32,618,781,0.24020220525562763,0.7597977947443724,3.1959
33,618,1438,0.8347570272162557,0.16524297278374434,3.323
34,655,827,0.8347570272162557,0.16524297278374434,3.2753
35,496,656,0.8462707325816154,0.15372926741838455,3.4113
36,265,350,0.8462707325816154,0.15372926741838455,2.8428
37,496,1198,0.8462707325816154,0.15372926741838455,3.2954
38,496,656,0.48498909175395966,0.5150109082460403,3.2835
39,265,640,0.48498909175395966,0.5150109082460403,3.2588
40,426,1262,0.16976491920650005,0.8302350807935,3.6934
41,340,1007,0.16976491920650005,0.8302350807935,3.2961
42,426,478,0.16976491920650005,0.8302350807935,3.0081
43,426,1262,0.25934491120278835,0.7406550887972116,3.3193
44,340,381,0.25934491120278835,0.7406550887972116,2.9188
45,540,1049,0.8073329962790012,0.19266700372099876,3.3261
46,849,1650,0.8073329962790012,0.19266700372099876,3.8324
47,540,1194,0.8073329962790012,0.19266700372099876,3.6528
48,540,1049,0.9218588871881366,0.07814111281186342,3.688
49,849,1878,0.9218588871881366,0.07814111281186342,3.796
50,942,1979,0.3236546730622649,0.6763453269377351,3.5952
51,215,451,0.3236546730622649,0.6763453269377351,3.3667
52,942,2652,0.3236546730622649,0.6763453269377351,3.6716
53,942,1979,0.6834964593872428,0.3165035406127572,3.6688
54,215,605,0.6834964593872428,0.3165035406127572,3.2724
55,113,125,0.7149028154090047,0.2850971845909953,2.9553
56,722,803,0.7149028154090047,0.2850971845909953,3.131
57,113,222,0.7149028154090047,0.2850971845909953,3.1013
58,113,125,0.028854580596089363,0.9711454194039106,2.176
59,722,1424,0.028854580596089363,0.9711454194039106,3.0614
60,276,662,0.8845412964001298,0.1154587035998702,3.147
61,539,1294,0.8845412964001298,0.1154587035998702,3.3645
62,276,442,0.8845412964001298,0.1154587035998702,3.4709
63,276,662,0.41815729439258575,0.5818427056074142,3.3108
64,539,865,0.41815729439258575,0.5818427056074142,3.5669
65,872,1205,0.029931711964309216,0.9700682880356908,2.8675
66,149,205,0.029931711964309216,0.9700682880356908,2.2083
67,872,2354,0.029931711964309216,0.9700682880356908,3.4642
68,872,1205,0.76011320669204,0.23988679330796003,3.8963
69,149,402,0.76011320669204,0.23988679330796003,3.2292
70,680,1727,0.6088859140872955,0.39111408591270447,3.5289
71,887,2253,0.6088859140872955,0.39111408591270447,3.8627
72,680,1587,0.6088859140872955,0.39111408591270447,3.3227
73,680,1727,0.5295663708820939,0.4704336291179061,3.3182
74,887,2070,0.5295663708820939,0.4704336291179061,3.646
75,319,495,0.49229646660387516,0.5077035333961248,3.2358
76,498,773,0.49229646660387516,0.5077035333961248,3.1893
77,319,474,0.49229646660387516,0.5077035333961248,3.2007
78,319,495,0.1798585243523121,0.8201414756476879,3.058
79,498,739,0.1798585243523121,0.8201414756476879,3.1563
80,299,774,0.7568069323897362,0.24319306761026382,3.3139
81,689,1784,0.7568069323897362,0.24319306761026382,3.7509
82,299,893,0.7568069323897362,0.24319306761026382,3.486
83,299,774,0.790992989204824,0.20900701079517603,3.2943
84,689,2059,0.790992989204824,0.20900701079517603,3.9123
85,652,1023,0.14219378121197224,0.8578062187880278,3.1925
86,246,386,0.14219378121197224,0.8578062187880278,3.0272
87,652,1193,0.14219378121197224,0.8578062187880278,3.2914
88,652,1023,0.39019918628036976,0.6098008137196302,3.296
89,246,450,0.39019918628036976,0.6098008137196302,3.1302
90,844,2091,0.7190041253343225,0.28099587466567755,3.5686
91,814,2016,0.7190041253343225,0.28099587466567755,3.7562
92,844,1009,0.7190041253343225,0.28099587466567755,3.543
93,844,2091,0.15190828405320644,0.8480917159467936,3.6539
94,814,973,0.15190828405320644,0.8480917159467936,3.2371
95,255,379,0.36633975338190794,0.6336602466180921,3.196
96,373,555,0.36633975338190794,0.6336602466180921,3.2121
97,255,537,0.36633975338190794,0.6336602466180921,3.4447
98,255,379,0.5604540212079883,0.43954597879201174,3.1869
99,373,786,0.5604540212079883,0.43954597879201174,3.303
100,148,299,0.03410170879215002,0.96589829120785,2.1217
101,411,832,0.03410170879215002,0.96589829120785,2.9335
102,148,365,0.03410170879215002,0.96589829120785,2.3931
103,148,299,0.8870651060715318,0.11293489392846823,3.335
104,411,1014,0.8870651060715318,0.11293489392846823,3.3799
105,984,989,0.927279775030911,0.07272022496908903,3.1602
106,972,977,0.927279775030911,0.07272022496908903,3.2967
107,984,1298,0.927279775030911,0.07272022496908903,3.5009
108,984,989,0.29120152071118355,0.7087984792888165,3.2013
109,972,1283,0.29120152071118355,0.7087984792888165,3.1357
110,583,1699,0.44171698950231075,0.5582830104976892,3.6916
111,63,183,0.44171698950231075,0.5582830104976892,3.0718
112,583,1000,0.44171698950231075,0.5582830104976892,3.5983
113,583,1699,0.06071858108043671,0.9392814189195633,3.5399
114,63,108,0.06071858108043671,0.9392814189195633,2.101
115,461,888,0.5812461338937283,0.41875386610627174,3.3366
116,623,1200,0.5812461338937283,0.41875386610627174,3.3436
117,461,1207,0.5812461338937283,0.41875386610627174,3.2988
118,461,888,0.6487100692465901,0.35128993075340986,3.3017
119,623,1632,0.6487100692465901,0.35128993075340986,3.5013
120,480,1095,0.40277192927896976,0.5972280707210302,3.3901
121,936,2137,0.40277192927896976,0.5972280707210302,3.3432
122,480,921,0.40277192927896976,0.5972280707210302,3.6371
123,480,1095,0.5951776308938861,0.4048223691061139,3.3804
124,936,1796,0.5951776308938861,0.4048223691061139,3.566
125,594,778,0.5108161568641663,0.48918384313583374,3.1854
126,494,647,0.5108161568641663,0.48918384313583374,3.2267
127,594,1639,0.5108161568641663,0.48918384313583374,3.4876
128,594,778,0.19444391690194607,0.8055560830980539,3.1614
129,494,1363,0.19444391690194607,0.8055560830980539,3.5296
130,907,2395,0.11991413217037916,0.8800858678296208,3.5251
131,572,1510,0.11991413217037916,0.8800858678296208,3.3112
132,907,1941,0.11991413217037916,0.8800858678296208,3.2064
133,907,2395,0.45606216974556446,0.5439378302544355,3.5897
134,572,1224,0.45606216974556446,0.5439378302544355,3.3308
135,78,127,0.9820923740044236,0.01790762599557638,2.5206
136,131,214,0.9820923740044236,0.01790762599557638,2.879
137,78,82,0.9820923740044236,0.01790762599557638,2.2599
138,78,127,0.8646679958328605,0.13533200416713953,2.7497
139,131,138,0.8646679958328605,0.13533200416713953,2.6893
140,207,589,0.6800683410838246,0.31993165891617537,3.7095
141,181,515,0.6800683410838246,0.31993165891617537,3.5782
142,207,296,0.6800683410838246,0.31993165891617537,2.9683
143,207,589,0.6922260196879506,0.3077739803120494,3.2707
144,181,258,0.6922260196879506,0.3077739803120494,3.1413
145,804,1507,0.29590057488530874,0.7040994251146913,3.3174
146,741,1389,0.29590057488530874,0.7040994251146913,3.3126
147,804,1834,0.29590057488530874,0.7040994251146913,3.3794
148,804,1507,0.09642250835895538,0.9035774916410446,3.2665
149,741,1690,0.09642250835895538,0.9035774916410446,3.1962
150,760,1675,0.8426253534853458,0.15737464651465416,3.3967
151,292,643,0.8426253534853458,0.15737464651465416,3.8414
152,760,1998,0.8426253534853458,0.15737464651465416,3.5822
153,760,1675,0.36584921553730965,0.6341507844626904,3.3141
154,292,767,0.36584921553730965,0.6341507844626904,3.4151
155,399,479,0.19700033776462078,0.8029996622353792,2.9875
156,852,1022,0.19700033776462078,0.8029996622353792,3.1875
157,399,612,0.19700033776462078,0.8029996622353792,3.0992
158,399,479,0.9539007777348161,0.046099222265183926,2.8039
159,852,1306,0.9539007777348161,0.046099222265183926,3.3938
160,388,1085,0.3388403244316578,0.6611596755683422,3.3183
161,631,1764,0.3388403244316578,0.6611596755683422,3.6793
162,388,929,0.3388403244316578,0.6611596755683422,3.2878
163,388,1085,0.8522254284471273,0.14777457155287266,3.9641
164,631,1512,0.8522254284471273,0.14777457155287266,4.0205
165,741,1334,0.7007892113178968,0.29921078868210316,3.3705
166,72,129,0.7007892113178968,0.29921078868210316,3.116
167,741,962,0.7007892113178968,0.29921078868210316,3.5248
168,741,1334,0.45193375181406736,0.5480662481859326,3.3467
169,72,93,0.45193375181406736,0.5480662481859326,2.7826
170,814,1753,0.18384574074298143,0.8161542592570186,3.3714
171,996,2144,0.18384574074298143,0.8161542592570186,3.3955
172,814,1357,0.18384574074298143,0.8161542592570186,3.2661
173,814,1753,0.21372224297374487,0.7862777570262551,3.5392
174,996,1660,0.21372224297374487,0.7862777570262551,3.2957
175,225,253,0.7921193307265639,0.20788066927343607,2.8173
176,435,489,0.7921193307265639,0.20788066927343607,3.1105
177,225,565,0.7921193307265639,0.20788066927343607,3.8388
178,225,253,0.6217668075114489,0.37823319248855114,2.8996
179,435,1092,0.6217668075114489,0.37823319248855114,3.6635
180,59,139,0.6239437786862254,0.3760562213137746,3.0734
181,352,829,0.6239437786862254,0.3760562213137746,3.3208
182,59,169,0.6239437786862254,0.3760562213137746,3.0983
183,59,139,0.9502451866865158,0.04975481331348419,2.996
184,352,1013,0.9502451866865158,0.04975481331348419,3.7131
185,895,1218,0.47805888298898935,0.5219411170110106,3.3058
186,793,1079,0.47805888298898935,0.5219411170110106,3.2539
187,895,1598,0.47805888298898935,0.5219411170110106,3.5441
188,895,1218,0.35488658864051104,0.645113411359489,3.6234
189,793,1416,0.35488658864051104,0.645113411359489,3.3417
190,612,1661,0.8987499121576548,0.10125008784234524,3.9361
191,240,651,0.8987499121576548,0.10125008784234524,3.4218
192,612,725,0.8987499121576548,0.10125008784234524,3.2392
193,612,1661,0.12449210230261087,0.8755078976973891,3.7366
194,240,284,0.12449210230261087,0.8755078976973891,2.7027
195,490,827,0.014842018485069275,0.9851579815149307,2.5362
196,682,1151,0.014842018485069275,0.9851579815149307,2.8271
197,490,992,0.014842018485069275,0.9851579815149307,2.7869
198,490,827,0.7119776494801044,0.28802235051989555,3.419
199,682,1381,0.7119776494801044,0.28802235051989555,3.3027
200,449,935,0.9379298444837332,0.06207015551626682,3.6728
201,874,1821,0.9379298444837332,0.06207015551626682,3.918
202,449,651,0.9379298444837332,0.06207015551626682,3.1494
